uri	sentence	label
20000278_1_S00098720	인턴으로 활동했습니다.	0
20000278_1_S00098720	인턴 생활을 했습니다.	0
20000278_1_S00098720	인턴으로 일했습니다.	0
20000278_1_S00098720	인턴으로 일하며 많은 것을 배웠습니다.	0
20000278_1_S00098720	인턴으로 일하며 우수상을 수상하였습니다.	0
20000278_1_S00098720	공모전에서 우수상을 받았습니다.	0
20000278_1_S00098720	업계에서 일하고 싶었습니다.	0
20000278_1_S00098720	인이 되기 위해 공부를 열심히 하였습니다.	0
20000278_1_S00098720	저는 디지털마케팅 전문가가 되어 이 산업과 고객의 트렌드를 재빨리 파악하고 대응하는 데에 기여하고 싶습니다.	0
20000278_1_S00041815	 발전의 동력이 되겠습니다 이 해외로 활발하게 진출해감에 따라 이러한 진출을 이끌어 나갈 새로운 성장 동력이 필요합니다.	1
20000278_1_S00124570	고객에게 진정성과 따뜻함으로 다가가는 사원이되겠습니다.	1
20000278_1_S00160811	첫째 md는 tv 채널로 상품을 판매하여 단 한 시간 내에 최대의 매출액을 달성해야 합니다.	1
20000278_1_S00549077	청년복지 국가인 독일에서 학생 복지 의식 제고 라는 메시지를 담은 영상을 담아오는 것이 저희 팀의 주제였고 이를 위해 저는 두 번의 발표에 거쳐 심사위원분들을 설득하였습니다.	0
20000278_2_S00501157	특히 작년 해피예 스 봉사활동을 통해 먼저 실천하며 조원들을 설득하는 솔선수범형 리더십을 길렀습니다.이 한계 없는 열정과 적극성으로 주체적으로 한계를 뛰어넘는 제과 영업리더가 되겠습니다.	0
20000278_1_S00506951	 글로벌 경쟁력 조직문화 심리학을 전공하면서 인간의 잠재력과 역량에 관심을 갖게 되었습니다.	0
20000278_1_S00234098	온라인 구인글을 보고 해외 취업을 결심하여 왔으나 현금카드 휴대폰 유심칩 등을 빼앗기고 어디인지조차 모르는 곳에 갇혀 신변위협을 느낀다는 신고였는데 유일한 연락수단은 톡 메신저 뿐이었습니다.	0
20000278_1_S00052485	 각 부서의 업무를 대부분 해보았기 때문에 호텔업의 전반적인 흐름과 지식을 몸소 익힐 수 있어 저에게는 가장 기억에 남는 소중한 경험이었습니다.	1
20000278_1_S00123026	 안전 top no.1 깨어있는 안전의식은 제가 에 반하게 된 이유입니다.	1
20000278_1_S00528427	 입장이 다른 상대방을 설득했던 경험 2013년 대 학생인권복지위원장으로 활동하며 교직원 재학생과 효과적인 커뮤니케이션을 통해 재학생 대상 복리후생 제도를 운영하며 설득력을 기른 경험이 있습니다.	0
20000278_1_S00133477	이를 통해 뛰어난 가격경쟁력을 확보하여 가 세계적인 식품사로 도약하도록 돕겠습니다.먼저 입사 후 빠른 적응을 위해 사무와 현장 업무를 연계하여 생산 원리와 설비 조작 등의 기본 지식을 익히겠습니다.	1
20000278_1_S00261917	 이마트 에브리데이 관계 개선을 이끈 준비와 끈기 2019년 4월 cj헬스케어 h b 신유통팀에서 근무하며 와 에브리데이 거래처를 인수인계 받게 되었습니다.	0
20000278_1_S00002639	화학연구원 저희 팀에 새로 합류한 박사님께서 에 3년 근무하시다 왔는데 연구하기 참 좋은 환경을 제공해주는 회사라고 칭찬했습니다.	1
20000278_1_S00103800	 특별한 공간에서 만드는 특별한 추억이 있는 곳 여행 경험을 가장 풍부하게 만들어 줄 수 있는 곳은 바로 여행 중 머무는 장소 호텔이라 생각합니다.	1
20000278_1_S00081014	 에 입사하게 된다면 반드시 이 배움을 잊지 않고 실천하여 회사 발전에 기여할 수 있는 사원이 되겠습니다.	1
20000278_1_S00543234	그래서 sunny 활동을 하게 된 것입니다.	0
20000278_1_S00057171	 의 공정 라인에 지능형 제어 시스템을 도입 하겠습니다.	1
20000278_1_S00538170	이러한 경험들을 토대로 2019년 여름 브로드밴드의 재무팀 및 회계팀에서 인턴으로 근무했습니다.	0
20000278_1_S00127295	이와 같은 경험을 바탕으로 세계문화를 주도하는 에 걸맞은 디자인 직무를 수행하겠습니다.	1
20000278_1_S00119295	따라서 제가 가장 잘할 수 있는 인사 노무 업무를 그토록 원했던 현장에서 시작할 수 있다는 점 나아가 그 공간이 직원의 행복을 위해 노력하는 공간이라는 점이 로 이끈 이유이자 동기였습니다.	1
20000278_1_S00046399	제가 지금까지 지향해 온 목표 이상의 도전 의 가치는 가 화학 소재 분야에서 최고가 될 수 있었던 원동력인 끊임없는 도전 과 같은 방향성을 가진다고 생각하여 지원했습니다.공장에서 근무 도중 라인 생산량이 평소보다 감소해 제품 출하 차질이 생겼던 적이 있습니다.	1
20000278_1_S00320302	2016년 하이프라자 인턴 당시 가전매니저들은 고객상담시간이 상대적으로 긴 고령층 고객들을 상대하기 어려워했습니다.	0
20000278_1_S00121705	이를 극복하기 위해 는 꾸준히 해외시장 진출을 하고 있습니다.	1
20000278_1_S00550256	이러한 경험을 통해 의 재무 팀원의 역할을 잘할 것입니다.	0
20000278_1_S00556366	한진해운과 하이로지스틱스 네덜란드 물류대학교에 직접 연락하여 일정을 조율해서 방문했기 때문에 더욱 의미 있는 시간을 가졌습니다.	0
20000278_1_S00052824	이를 바탕으로 마케팅 직무에서 의 전략을 효과적으로 고객에게 전달하겠습니다.	1
20000278_1_S00055489	공식홈페이지의 경우 광고를 따로 하지 않으면 고객유입이 떨어질 수 밖에 없다고 판단하였고 그에 비해 스토어팜은 공식홈페이지보다는 접근성이 높다고 판단하여 서브로 운영하였습니다.	0
20000278_1_S00482200	2016년에 진라면 서포터즈를 하며 저의 강점인 협상 능력으로 분식점 10곳 중 4곳을 설득하며 취급 미션을 성공했습니다.	0
20000278_1_S00526097	어려운 과정이었지만 저는 교육 과정 중 r과 파이썬 등의 코딩 프로그램들과 챗봇의 질문 구조화 방법 및 구글 트렌드 등을 이용하고 응용해나가는 법을 배울 수 있었습니다.	0
20000278_1_S00026108	전 세계 체인을 관리하는 에 걸맞은 회계 담당자가 되기 위해 원어로 회계 수업을 듣고 미국 공인회계사 aicpa 자격증 3과목 합격 재무 및 고급회계 세무 및 기업법 재무관리 및 원가회계 1과목 감사 준비 중 을 공부하였습니다.직무 강점 회계 데이터에 근거한 인사이트 도출회계라는 경영 데이터를 바탕으로 재무 상황을 분석하는 것은 재무팀의 중요한 역할입니다.	1
20000278_1_S00504266	어릴 적부터 아버지가 국내에서는 지리산과 산 등반처럼 고된 여행을 많이 데리고 다니셨습니다.	0
20000278_1_S00479996	결국 다방면에 대해 자연스럽게 대화를 이끄는 저를 보며 주변 사람들은 미니 라는 별명을 지어줬고 때로는 인터넷에 묻는 것보다 너에게 묻는 게 더 정확하고 빠르다는 우스갯소리를 하곤 했습니다.	0
20000278_1_S00063529	개인화된 첫 화면을 통해 필요한 상품을 효율적으로 제안받으면서 앞으로 가 구축할 쇼핑 환경이 가져올 편리함에 확신이 생겼습니다.이러한 편리함을 확산시키고 싶어 의 마케팅 직무에 지원합니다.마케팅은 상품의 판매 촉진 뿐만 아니라 기존 회원의 유지 및 신규 회원 유입을 통해 가 갖고 있는 편리함을 확산시킬 수 있는 방안을 찾아나가는 직무이기 때문입니다.	1
20000278_1_S00066938	필요한 역량이라면 시간을 투자해 개발해나가는 의 신입사원이 되겠습니다.	1
20000278_2_S00528967	아동 노인 세대별로 다양한 사회공헌활동을 하는 샤 봉사단은 하이마트가 사람을 생각하는 기업임을 알 수 있었습니다.저 역시 대학생 때 sunny 봉사단으로 활동하며 단순한 봉사활동이 아닌 어르신들 생신파티를 기획하고 기업에서 준 예산을 운용하며 함께 다양한 활동을 했습니다.	0
20000278_1_S00088530	 유비무환 입사 후 저의 회사생활 목표를 말씀드리고 싶습니다.입사 후 2 3년간은 의 설비에 대해 완벽하게 숙지하겠습니다.	1
20000278_1_S00540382	또한 폼을 적극적으로 활용해서 의견수렴을 체계적이고 빠르게 할 수 있었습니다.	0
20000278_1_S00524245	2019년 8월 에서 진행하는 기업 실무형 교육에 참가하였습니다.	0
20000278_1_S00122431	특히 사람을 핵심 경쟁력으로 인식하고 인재 양성에 적극 지원하고 있는 인재지향의 기업인 에서 인재를 양성하는 hrd담당자가 되고 싶어 지원하게 되었습니다.	1
20000278_1_S00078304	 에 입사하게 된다면 보다 더 많은 사람들에게 사랑받는 이 될 수 있도록 제 위치에서 저의 일을 묵묵히 할 것입니다.	1
20000278_1_S00143864	 의 조직 구성원으로서 팀원과 충분히 협업하고 도전적인 목표를 성취하기 위해 노력함으로써 회사의 발전에 기여하고자 합니다.	1
20000278_1_S00031635	 는 고객에 대한 진지한 고민을 반영하여 21세기 마트의 개념을 물건을 파는 곳 에서 즐거운 서비스 경험 공간 으로 바꾸어 왔고 저는 에 지원하게 되었습니다.	1
20000278_2_S00512464	홍보마케팅 인턴으로서 의 전통시장 플랫폼 프로젝트에 참여했습니다.	0
20000278_1_S00050224	입사 후 금호리조트에서 배운 고객관리역량을 바탕으로 의 충성 고객군을 형성하여 장기적이고 안정적인 수익확보에 힘쓰겠습니다.	1
20000278_1_S00126384	 에서 영업직무를 수행한다면 저의 역량으로 가장 잘할 수 있으며 즐겁게 일할 수 있다고 생각합니다.	1
20000278_1_S00551921	저는 뚜렷한 자금관리 기법이나 거래기준도 없었으며 그저 원금의 100배 라는 수치에 빠져 전액을 재투자하면 500억이 되어 돌아올 것이라는 안일한 생각밖에 하지 못했습니다.	0
20000278_1_S00551177	어느 날 대회 담당자분께서 교내대회는 의 품질문제해결 부문으로 출전하고 전국대회는 스마트팩토리 부문의 참가를 제의하였습니다.	0
20000278_1_S00128430	마케팅은 roi 투자 대비 성과 가 명확하게 계산되지 않기에 예산지원 우선순위에서 밀리지만 업계 1위인 와 함께라면 다양한 이벤트와 공격적인 마케팅 전략을 펼쳐서 아시아 과자 하면 를 바로 떠올릴 수 있게 만들고 싶습니다.	1
20000278_1_S00021022	 의 글로벌 영업 전문가 에서 이루고 싶은 저의 vision은 글로벌 영업 전문가입니다.	1
20000278_1_S00062356	평상시 상대를 경청하고 진정성 있는 태도로 저는 에서 든든하고 믿음이 가는 자가 되겠습니다.	1
20000278_1_S00129498	 는 국내 인구 절반이 넘는 회원의 구매 데이터를 바탕으로 개인 맞춤형 마케팅과 서비스 등 차별화된 개인화 쇼핑 환경을 제공합니다.	1
20000278_1_S00049962	많은 계열사와의 협력을 바탕으로 이루어진 만큼 적합한 백화점은 없습니다.	1
20000278_1_S00489818	치아까지 생각한 자일리톨 더 건강한 드림 떠먹는 불편함을 개선한 설레임 등 고객의 니즈를 정확하게 파악한 의 제품들이 큰 성공을 이루어 인기상품으로 자리 잡고 있습니다.	0
20000278_1_S00515076	현재는 직무에 대한 역량을 강화하기 위해 자격증 취득과 인턴 과정을 수행하고 있습니다.	0
20000278_1_S00149389	이런 변화를 인지하며 빠르게 성장하는 의 새로운 미래를 향해 같이 도전하고 싶습니다.	1
20000278_1_S00511745	 kpi 99 달성 한 법인의 성과를 측정한다는 막중한 책임감으로 에서 kpi를 99 까지 향상했습니다.당시 kpi는 1 평가체계의 변화 2 비체계적인 관리로 50 대를 기록하고 있었습니다.	0
20000278_1_S00555913	따라서 452시간의 빅데이터교육에서 데이터 활용능력을 길러 최우수프로젝트상을 받았고 현재는 웨일 확장앱을 기획하고 있습니다.	0
20000278_1_S00023237	저는 이런 꾸준함과 지치지 않는 목표의식으로 기업과 고객 모두의 니즈를 만족할 수 있는 마케팅 전략을 세울 것이며 가 국내뿐만 아니라 국외에서도 인정받는 브랜드로 정착할 수 있도록 할 것입니다.	1
20000278_1_S00552419	 제과의 abc 초콜릿과 쿠키를 붙여 만든 abc 초코쿠키 는 출시 3개월 만에 천만 개 판매라는 기록을 세워 판매 지속 상승 가능성을 보여주었습니다.	0
20000278_1_S00037874	연구를 수행한 경험이 있고 환경 유관업무를 배우고 경험하기 위해 꾸준히 노력해왔기에 에서 업무를 맡아 진행하고 또 배워나가는데 도움이 될 것이라 생각합니다.	1
